자신의 하루 평균 SNS 사용량,자주 이용하는 플랫폼
5시간 이상,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
3~4시간,"인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 페이스북, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 페이스북, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 페이스북, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
3~4시간,"인스타, 틱톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 페이스북, 카카오톡"
3~4시간,유튜브
3~4시간,"유튜브, 인스타"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 페이스북, 카카오톡, 틱톡"
5시간 이상,"유튜브, 인스타, 트위터 X, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 트위터 X, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 틱톡"
3~4시간,"유튜브, 인스타, 페이스북, 틱톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡, 틱톡"
5시간 이상,"유튜브, 인스타, 페이스북, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타"
3~4시간,"유튜브, 인스타, 카카오톡"
1~2시간,"인스타, 카카오톡"
1~2시간,"유튜브, 인스타"
1~2시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 페이스북, 트위터 X, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡, 틱톡"
5시간 이상,"유튜브, 인스타, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
5시간 이상,"유튜브, 인스타, 페이스북, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타"
1~2시간,"인스타, 카카오톡"
1~2시간,"유튜브, 카카오톡"
1~2시간,"유튜브, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타"
1~2시간,"유튜브, 카카오톡"
1~2시간,"유튜브, 카카오톡"
1~2시간,"유튜브, 인스타, 카카오톡"
1~2시간,"인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 페이스북, 트위터 X, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
1~2시간,"유튜브, 인스타, 카카오톡"
1~2시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡, 틱톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
3~4시간,"유튜브, 인스타, 페이스북, 카카오톡"
3~4시간,"유튜브, 인스타, 카카오톡"
5시간 이상,"유튜브, 인스타, 카카오톡, 틱톡"